City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,14.45,99,100,2.57,US,1712897226
1,hermanus,-34.4187,19.2345,12.67,79,44,5.54,ZA,1712896980
2,flying fish cove,-10.4217,105.6791,29.82,74,75,5.66,CX,1712897051
3,ribeira grande,38.5167,-28.7,15.99,94,12,0.45,PT,1712897227
4,ola,59.5833,151.2833,-0.48,89,44,0.66,RU,1712897227
5,iwanai,42.9744,140.5089,15.49,50,99,1.13,JP,1712897207
6,adamstown,-25.066,-130.1015,21.73,52,43,5.06,PN,1712897228
7,port-aux-francais,-49.35,70.2167,6.25,89,99,7.95,TF,1712896973
8,ushuaia,-54.8,-68.3,8.81,71,20,9.26,AR,1712897228
9,puerto natales,-51.7236,-72.4875,2.45,92,49,1.95,CL,1712897077
10,nuuk,64.1835,-51.7216,-3.66,80,20,2.57,GL,1712897229
11,whitehorse,60.7161,-135.0538,4.43,35,75,6.69,CA,1712897229
12,al ghayzah,16.2079,52.176,29.2,60,47,5.59,YE,1712897229
13,waitangi,-43.9535,-176.5597,16.57,93,98,4.02,NZ,1712897229
14,bolivar,37.6145,-93.4105,10.54,49,17,4.44,US,1712897230
15,kalulushi,-12.8378,28.0919,17.86,97,89,2.48,ZM,1712897230
16,avarua,-21.2078,-159.775,28.03,89,75,7.72,CK,1712896992
17,bredasdorp,-34.5322,20.0403,11.9,80,28,2.66,ZA,1712897230
18,dunedin,-45.8742,170.5036,9.89,83,100,1.34,NZ,1712897073
19,yellowknife,62.456,-114.3525,1.34,84,20,4.63,CA,1712896978
20,georgetown,5.4112,100.3354,33.86,56,20,2.57,MY,1712897076
21,coahuayana de hidalgo,18.7,-103.6583,21.57,84,38,1.15,MX,1712897231
22,puerto aysen,-45.4,-72.7,2.48,92,5,0.58,CL,1712897232
23,porto velho,-8.7619,-63.9039,24.03,94,20,0.51,BR,1712897232
24,bubaque,11.2833,-15.8333,24.17,69,1,6.26,GW,1712897232
25,kabansk,52.0486,106.6528,3.97,91,100,2.41,RU,1712897232
26,iqaluit,63.7506,-68.5145,-6.15,79,100,6.17,CA,1712897233
27,kruisfontein,-34.0033,24.7314,12.16,70,13,3.4,ZA,1712897233
28,nar'yan-mar,67.6713,53.087,-6.37,93,100,6.83,RU,1712896937
29,longyearbyen,78.2186,15.6401,-17.09,66,40,2.57,SJ,1712897233
30,bardai,11.65,7.2333,27.35,11,100,3.9,NG,1712897234
31,saipan,15.1355,145.701,31.39,66,40,7.2,MP,1712897234
32,port elizabeth,-33.918,25.5701,14.62,79,20,4.63,ZA,1712897234
33,karatuzskoye,53.6072,92.8667,1.88,92,100,4.47,RU,1712897235
34,lihue,21.9789,-159.3672,22.77,91,100,7.72,US,1712897221
35,edinburgh of the seven seas,-37.0676,-12.3116,18.83,92,45,8.17,SH,1712897235
36,olonkinbyen,70.9221,-8.7187,-5.42,89,100,10.6,SJ,1712897235
37,dudinka,69.4058,86.1778,-22.4,93,58,5.81,RU,1712897235
38,kilju,40.9642,129.3278,19.0,44,47,3.12,KP,1712897236
39,keflavik,64.0049,-22.5624,2.95,93,75,6.17,IS,1712897236
40,east london,-33.0153,27.9116,15.52,67,0,5.66,ZA,1712897236
41,christchurch,-43.5333,172.6333,11.97,92,100,7.2,NZ,1712896849
42,san patricio,28.017,-97.5169,21.58,49,3,3.32,US,1712897237
43,amahai,-3.3333,128.9167,28.31,80,47,1.89,ID,1712897237
44,papatowai,-46.5619,169.4708,8.55,71,78,2.22,NZ,1712897237
45,hawaiian paradise park,19.5933,-154.9731,21.73,98,100,2.06,US,1712897237
46,bayanhongor,46.7167,100.1167,6.53,34,40,3.3,MN,1712897238
47,punta arenas,-53.15,-70.9167,7.84,75,55,5.89,CL,1712897170
48,sao geraldo do araguaia,-6.4006,-48.555,23.92,95,53,0.43,BR,1712897239
49,taixing,32.1667,120.0136,15.3,97,100,3.56,CN,1712897046
