City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,7.29,85,0,0.59,CL,1712992197
1,longyearbyen,78.2186,15.6401,-8.09,67,75,10.29,SJ,1712992198
2,iskateley,67.6803,53.1512,-16.1,92,32,6.71,RU,1712992198
3,cidreira,-30.1811,-50.2056,21.27,88,100,9.53,BR,1712992198
4,georgetown,5.4112,100.3354,33.96,62,20,5.14,MY,1712992198
5,adamstown,-25.066,-130.1015,22.11,58,100,5.75,PN,1712992199
6,ola,59.5833,151.2833,-0.48,87,100,0.76,RU,1712992199
7,margaret river,-33.95,115.0667,20.49,60,35,2.88,AU,1712992200
8,ekibastuz,51.6667,75.3667,13.08,39,96,11.1,KZ,1712992200
9,fale old settlement,-9.3852,-171.2468,30.36,75,100,6.09,TK,1712992200
10,vazante,-17.9869,-46.9078,21.09,92,96,0.9,BR,1712992201
11,flin flon,54.7682,-101.865,0.93,96,100,4.56,CA,1712992202
12,ushuaia,-54.8,-68.3,4.81,93,0,0.0,AR,1712992203
13,jizan,17.3333,42.6667,33.52,56,7,2.02,SA,1712992203
14,thompson,55.7435,-97.8558,-1.01,91,100,3.91,CA,1712991971
15,puerto baquerizo moreno,-0.9,-89.6,24.82,87,10,2.61,EC,1712992204
16,port-aux-francais,-49.35,70.2167,9.0,97,96,13.8,TF,1712992205
17,nagqu,31.5,92.0,7.03,8,100,2.78,CN,1712992011
18,edinburgh of the seven seas,-37.0676,-12.3116,17.31,94,100,3.38,SH,1712992206
19,kayangel,8.0823,134.7173,28.44,79,39,6.36,PW,1712992207
20,waitangi,-43.9535,-176.5597,17.12,96,100,4.92,NZ,1712992207
21,formosa do rio preto,-11.0483,-45.1931,22.24,91,23,1.16,BR,1712992207
22,avarua,-21.2078,-159.775,27.03,89,40,7.72,CK,1712992208
23,lethem,3.3803,-59.7968,25.63,76,54,5.39,GY,1712992208
24,puerto natales,-51.7236,-72.4875,4.06,95,100,1.97,CL,1712992208
25,ribeira grande,38.5167,-28.7,16.22,82,40,10.8,PT,1712992209
26,grytviken,-54.2811,-36.5092,-0.01,90,69,11.67,GS,1712992209
27,saldanha,-33.0117,17.9442,14.99,61,31,4.7,ZA,1712992210
28,blackmans bay,-43.0167,147.3167,17.07,81,66,1.95,AU,1712992210
29,invercargill,-46.4,168.35,11.68,82,74,1.34,NZ,1712991925
30,koster,-25.863,26.8976,15.02,57,0,4.89,ZA,1712992211
31,raholt,60.2667,11.1833,7.32,89,75,2.24,NO,1712992211
32,olonkinbyen,70.9221,-8.7187,-8.64,66,64,11.27,SJ,1712992211
33,talsi,57.2456,22.5814,8.12,90,100,3.47,LV,1712992212
34,albany,42.6001,-73.9662,10.33,81,100,1.34,US,1712992212
35,nishinoomote,30.7333,131.0,17.3,79,100,7.82,JP,1712992212
36,lauro de freitas,-12.8944,-38.3272,29.01,70,40,3.09,BR,1712992213
37,wailua homesteads,22.0669,-159.378,24.24,85,20,4.63,US,1712992213
38,dunedin,-45.8742,170.5036,9.89,90,100,2.15,NZ,1712992214
39,qaqortoq,60.7167,-46.0333,-9.11,78,94,2.22,GL,1712992214
40,khandyga,62.6667,135.6,-6.94,74,100,1.97,RU,1712992215
41,petropavlovsk-kamchatsky,53.0452,158.6483,-0.68,93,53,1.34,RU,1712992216
42,tsumeb,-19.2333,17.7167,22.51,46,14,5.63,NA,1712992216
43,malaryta,51.7905,24.074,13.92,78,100,5.12,BY,1712992217
44,brookings,44.3114,-96.7984,8.43,60,0,5.14,US,1712992218
45,port lincoln,-34.7333,135.8667,16.55,56,0,3.81,AU,1712992218
46,afaahiti,-17.75,-149.2833,26.7,75,100,11.04,PF,1712992219
47,labytnangi,66.6572,66.4183,-5.35,90,100,4.88,RU,1712992219
48,manali,13.1667,80.2667,35.05,60,71,5.11,IN,1712992200
49,carnarvon,-24.8667,113.6333,25.57,51,15,7.88,AU,1712992220
50,st. john's,47.5649,-52.7093,8.66,94,100,10.29,CA,1712992221
51,sangsong-ni,39.1694,126.8856,23.41,29,0,3.9,KP,1712992222
52,suva,-18.1416,178.4415,25.71,83,20,0.0,FJ,1712992222
53,bethel,41.3712,-73.414,12.05,72,0,4.63,US,1712992222
54,bredasdorp,-34.5322,20.0403,15.72,73,0,4.32,ZA,1712992223
55,toboso,10.7144,123.5162,30.89,60,92,5.0,PH,1712992223
56,tsiombe,-25.3,45.4833,25.37,47,48,2.01,MG,1712992223
57,chulakkurgan,43.765,69.1814,15.12,40,100,2.68,KZ,1712992224
58,don luan,11.5333,106.9167,38.3,25,99,2.93,VN,1712992225
59,bhilwara,25.35,74.6333,34.8,21,93,4.65,IN,1712992225
60,luderitz,-26.6481,15.1594,20.19,56,91,3.15,NA,1712992225
61,kedougou,12.5579,-12.1743,30.35,44,87,1.1,SN,1712992225
62,cox's bazar,21.4532,91.9798,35.53,31,5,7.45,BD,1712992226
63,nili,33.7218,66.1302,14.2,46,3,2.59,AF,1712992226
64,tiksi,71.6872,128.8694,-15.92,83,100,9.82,RU,1712992226
65,kochenevo,55.0218,82.202,6.66,94,100,8.85,RU,1712992227
66,port alfred,-33.5906,26.891,17.88,77,48,0.45,ZA,1712992227
67,tuapse,44.1125,39.0742,12.82,87,99,2.62,RU,1712992228
68,isafjordur,66.0755,-23.124,-7.54,78,84,1.42,IS,1712992228
69,raghunathpur,23.55,86.6667,37.95,14,98,0.89,IN,1712992228
70,northam,51.0333,-4.2167,9.78,94,100,4.12,GB,1712992229
71,port mathurin,-19.6833,63.4167,26.84,71,12,6.7,MU,1712992230
72,malango,-2.9627,119.9001,25.03,90,96,0.96,ID,1712992230
73,ta`u,-14.2336,-169.5144,29.2,78,100,6.1,AS,1712992231
74,hamilton,39.1834,-84.5333,8.85,86,0,3.09,US,1712992175
75,matam,15.6175,-13.3303,32.15,13,44,6.06,SN,1712992232
76,saint-philippe,-21.3585,55.7679,29.77,78,43,4.34,RE,1712992232
77,awjilah,29.1081,21.2869,24.46,15,0,5.12,LY,1712992232
78,badger,64.8,-147.5333,0.95,82,100,2.57,US,1712992233
79,palm coast,29.585,-81.2078,15.56,80,0,2.68,US,1712992233
